,train,test
accuracy,0.7260940032414911,0.5149797570850202
final_neg_log_loss,2233.4956122636795,3021.7725896835327
inital_neg_log_loss,3261.2090408802032,3984.1834790706635
AIC,4532.991224527359,6109.545179367065
precision,0.514013852352569,0.37488750869861054
recall,0.4052120580564669,0.2599093516379939
f1-score,0.3883855963206672,0.2678605470257041
support,1851.0,1235.0
