,estimate,std_errors,t_ratios
travelcost,-0.0032009357,0.00022869844,-13.996316
traveltime,-0.054080486,0.0028002465,-19.31276
travelincentive,0.0034524146,0.00027064423,12.756284
bus_constant,-0.0004104727,5.4839926e-05,-7.484925
train_constant,-0.00031471837,5.3118973e-05,-5.9247828
walk_constant,-0.00025740152,5.2343214e-05,-4.917572
bike_constant,-0.000101356636,5.08758e-05,-1.9922367
motor_constant,-0.00025537968,5.2327043e-05,-4.880453
AGE_bus,1.741735e-07,2.289291e-05,0.007608185
AGE_train,-5.204816e-09,1.5686477e-05,-0.00033180273
AGE_walk,8.5985306e-08,1.4959323e-05,0.005747941
AGE_bike,-2.8388354e-07,1.2496166e-05,-0.022717651
AGE_motor,1.1504852e-08,2.6199226e-05,0.00043912945
Female_bus,-6.2992505e-08,1.3364003e-05,-0.0047135954
Female_train,2.6345376e-07,2.3791554e-05,0.011073415
Female_walk,-6.0022455e-07,1.6776648e-05,-0.035777383
Female_bike,-2.494419e-07,1.7674856e-05,-0.014112812
Female_motor,3.6764874e-08,1.556678e-05,0.0023617519
INCOME_bus,4.7104635e-07,2.4247824e-05,0.019426335
INCOME_train,-3.262901e-07,2.4767827e-05,-0.013173949
INCOME_walk,1.9417797e-07,1.4557534e-05,0.013338658
INCOME_bike,-1.3657505e-08,1.6571346e-05,-0.0008241639
INCOME_motor,1.2382749e-07,2.2471337e-05,0.005510464
nearest_bus_dist_bus,-1.6566104e-07,2.4372493e-05,-0.006797049
nearest_bus_dist_train,-0.001073618,0.00023363618,-4.5952554
nearest_bus_dist_walk,-1.4763577e-07,2.117473e-05,-0.006972262
nearest_bus_dist_bike,-0.0006878403,0.00014454649,-4.7586093
nearest_bus_dist_motor,-0.00042208793,8.813101e-05,-4.789324
nearest_train_dist_bus,-4.4558583e-05,4.9738726e-05,-0.8958529
nearest_train_dist_train,-0.00016369541,6.34034e-05,-2.581808
nearest_train_dist_walk,-7.0758004e-05,5.5334258e-05,-1.2787378
nearest_train_dist_bike,-0.00020893809,9.659072e-05,-2.1631281
nearest_train_dist_motor,-0.00026491526,8.996742e-05,-2.9445689
