,estimate,std_errors,t_ratios
travelcost,-0.0024469225,0.00030185716,-8.106226
traveltime,-0.044909712,0.0042713853,-10.514086
travelincentive,0.004096046,0.00034640598,11.8244095
bus_constant,-0.9249745,0.13586614,-6.8079844
train_constant,-0.9972632,0.109441474,-9.112297
walk_constant,-0.4543151,0.14002798,-3.2444594
bike_constant,-0.8512125,0.11799856,-7.213753
motor_constant,-1.2021271,0.1822737,-6.5951757
nearest_bus_dist_bus,0.00037984678,0.00023955575,1.5856299
nearest_train_dist_train,-9.565229e-05,5.9922466e-05,-1.5962676
