"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",-0.173200620675178,0.0856114478776605,-2.02310117360336,0.24516972046045,-0.706451923793411
"asc_2",-0.490740025402117,0.157920929550213,-3.10750466578326,0.407143277006178,-1.20532513519724
"asc_3",-0.190631105019793,0.114748688628609,-1.66129223172895,0.41920303459152,-0.454746481512349
"asc_4",-0.726152105500005,0.113865797524659,-6.3772627187962,0.378037475346553,-1.9208468812102
"asc_5",0.0364778481005682,0.111534916302567,0.327053171417752,0.31456280542261,0.115963640556806
"b_tc",-0.00192476072348368,0.000328162432609494,-5.86526833122945,0.000770864797881197,-2.49688496448935
"b_tt",-0.059404503463988,0.00364238760411595,-16.3092207421473,0.0144021254338128,-4.12470393602601
"b_inc",0.00195417115696067,0.000258237472164007,7.56734156582656,0.000578727182243152,3.37667076460152
