,estimate,std_errors,t_ratios
travelcost,-0.0034640732,0.00020954554,-16.531363
traveltime,-0.058087893,0.0026241713,-22.13571
travelincentive,0.0027223234,0.00021805403,12.484628
bus_constant,-0.00024578805,2.4160605e-05,-10.173092
train_constant,-0.00052362814,3.2020504e-05,-16.352901
walk_constant,-0.000583628,3.41147e-05,-17.107817
bike_constant,-0.00020999346,2.3565137e-05,-8.911192
motor_constant,-0.00015309692,2.2643433e-05,-6.761206
AGE_bus,-6.3220402e-09,2.1637179e-07,-0.029218413
AGE_train,3.666501e-10,2.6753696e-07,0.0013704653
AGE_walk,-5.380236e-09,3.2204147e-07,-0.016706655
AGE_bike,-2.7207312e-09,1.4765061e-07,-0.01842682
AGE_motor,-1.363373e-09,2.5937837e-07,-0.0052563096
Female_bus,-1.0532757e-09,2.840706e-07,-0.0037077954
Female_train,-1.385269e-09,2.4404014e-07,-0.005676398
Female_walk,-1.7490407e-09,2.452788e-07,-0.007130827
Female_bike,1.6417928e-09,2.64833e-07,0.006199351
Female_motor,8.7067276e-10,2.5252e-07,0.0034479357
high_income_bus,-1.939034e-09,1.8651511e-07,-0.010396123
high_income_train,3.1155196e-09,1.9720883e-07,0.015798073
high_income_walk,4.52244e-09,2.3608614e-07,0.01915589
high_income_bike,-4.817994e-09,3.7409384e-07,-0.012879105
high_income_motor,8.262236e-10,2.1737686e-07,0.0038008809
nearest_bus_dist_bus,-5.857636e-09,2.443667e-07,-0.02397068
nearest_train_dist_train,-1.0600648e-08,3.545427e-07,-0.029899498
