,estimate,std_errors,t_ratios
travelcost,-0.0030197988,0.00038674008,-7.808342
traveltime,-0.056511153,0.004391802,-12.867418
travelincentive,0.004140353,0.00034536148,11.9884615
bus_constant,-0.55238193,0.036311623,-15.212262
train_constant,0.038093206,0.002528709,15.064291
walk_constant,-0.18787007,0.012346518,-15.216441
bike_constant,-0.13854629,0.009086486,-15.24751
motor_constant,0.06985598,0.0046280003,15.094204
AGE_bus,0.0047042896,0.004619986,1.0182476
AGE_train,-0.026507223,0.0032518692,-8.151381
AGE_walk,0.021966899,0.0036213836,6.0658855
AGE_bike,-0.01150395,0.0034947856,-3.2917469
AGE_motor,-0.027464304,0.0037380739,-7.347181
Female_bus,-1.202794,0.07909208,-15.207515
Female_train,0.121543795,0.008000012,15.192952
Female_walk,-1.2740725,0.08377942,-15.207465
Female_bike,0.15049852,0.009900756,15.20071
Female_motor,-0.30850998,0.020272367,-15.218251
high_income_bus,0.6576992,0.043255556,15.204966
high_income_train,-0.44443154,0.029219098,-15.21031
high_income_walk,0.34759396,0.022857983,15.206677
high_income_bike,0.31624955,0.020800805,15.203717
high_income_motor,0.022187514,0.0014603632,15.193149
nearest_bus_dist_bus,0.0010041028,0.00030022924,3.3444536
nearest_train_dist_train,-0.00018954452,6.836138e-05,-2.772684
job_type_Part time job_bus,0.18575916,0.0122165065,15.205587
job_type_Part time job_train,-0.21088867,0.013864515,-15.210677
job_type_Part time job_walk,0.3157926,0.020765468,15.207583
job_type_Part time job_bike,-7.1175144e-08,5.7450194e-05,-0.0012389018
job_type_Part time job_motor,-8.163764e-08,5.7450194e-05,-0.0014210158
job_type_Management executive_bus,-0.028271096,0.0018600902,-15.198777
job_type_Management executive_train,-0.0047983215,0.00032079287,-14.957694
job_type_Management executive_walk,-0.0058047087,0.00038594208,-15.040362
job_type_Management executive_bike,-1.4683698e-08,5.7450194e-05,-0.00025559004
job_type_Management executive_motor,-3.6489208e-08,5.7450194e-05,-0.00063514506
job_type_civil servant_bus,-0.47945133,0.03152761,-15.207349
job_type_civil servant_train,-0.13787441,0.009062755,-15.2133
job_type_civil servant_walk,-0.4358922,0.028660938,-15.208581
job_type_civil servant_bike,-0.030338863,0.0019954296,-15.204176
job_type_civil servant_motor,-0.07373605,0.004848555,-15.20784
job_type_Housewife_bus,-0.3026499,0.019904159,-15.205359
job_type_Housewife_train,-0.19540888,0.012848879,-15.208243
job_type_Housewife_walk,1.1094967,0.07295868,15.207193
job_type_Housewife_bike,-0.22833546,0.015010735,-15.211477
job_type_Housewife_motor,-0.23499557,0.015448829,-15.211223
job_type_Self employed/ Freelance_bus,0.0,5.7450194e-05,0.0
job_type_Self employed/ Freelance_train,0.0,5.7450194e-05,0.0
job_type_Self employed/ Freelance_walk,0.0,5.7450194e-05,0.0
job_type_Self employed/ Freelance_bike,0.0,5.7450194e-05,0.0
job_type_Self employed/ Freelance_motor,0.0,5.7450194e-05,0.0
job_type_Others_bus,0.26221183,0.017244758,15.205306
job_type_Others_train,-0.08570857,0.005634415,-15.211619
job_type_Others_walk,0.024054194,0.0015835637,15.189912
job_type_Others_bike,0.3137991,0.020637263,15.205462
job_type_Others_motor,0.08135807,0.005352793,15.199182
job_type_Unemployed_bus,-0.1404095,0.009223785,-15.222547
job_type_Unemployed_train,0.6751799,0.04441088,15.203029
job_type_Unemployed_walk,-1.2419776,0.081664145,-15.208358
job_type_Unemployed_bike,-0.084841706,0.005563897,-15.248611
job_type_Unemployed_motor,0.2973018,0.019577514,15.185881
