,estimate,std_errors,t_ratios
travelcost,-0.003065545,0.00017142812,-17.882393
traveltime,-0.054806355,0.002418905,-22.657507
travelincentive,0.0029819256,0.0003011146,9.902959
bus_constant,-0.00032630438,5.333339e-05,-6.1182003
train_constant,-0.0003283333,5.3375017e-05,-6.1514416
walk_constant,-0.00057884183,5.740363e-05,-10.0837145
bike_constant,-0.00022886449,5.236512e-05,-4.370552
motor_constant,-0.00022441994,5.233087e-05,-4.288481
AGE_bus,1.0912797e-06,3.283316e-05,0.033237122
AGE_train,-3.4336972e-06,4.766326e-05,-0.07204075
AGE_walk,9.200963e-07,2.1516411e-05,0.042762537
AGE_bike,-4.4866383e-06,3.1856038e-05,-0.14084107
AGE_motor,-0.0020441792,0.00014277676,-14.317311
Female_bus,1.780972e-07,3.9585844e-05,0.004499012
Female_train,-2.3004511e-06,3.928922e-05,-0.05855171
Female_walk,9.3902827e-07,3.1102085e-05,0.03019181
Female_bike,-2.605389e-06,5.3869975e-05,-0.0483644
Female_motor,-9.933632e-07,3.6205085e-05,-0.027437119
high_income_bus,-9.754918e-07,3.776339e-05,-0.02583168
high_income_train,5.814543e-07,3.2544725e-05,0.017866313
high_income_walk,-5.467425e-07,3.2249674e-05,-0.016953427
high_income_bike,6.368638e-07,2.896544e-05,0.021987023
high_income_motor,4.000236e-06,3.121947e-05,0.12813273
nearest_bus_dist_bus,1.5151909e-07,2.2144732e-05,0.0068422183
nearest_train_dist_train,-0.00031710116,5.399794e-05,-5.8724675
