,estimate,std_errors,t_ratios
travelcost,-0.0032349967,0.00039971288,-8.093301
traveltime,-0.054763835,0.004553314,-12.027248
travelincentive,0.0044441377,0.00035583967,12.489158
bus_constant,-0.93997157,0.051541038,-18.237343
train_constant,-0.31828836,0.034798466,-9.146621
walk_constant,0.13547385,0.033443503,4.050827
bike_constant,-0.3364346,0.021247502,-15.834078
motor_constant,0.1930537,0.012844278,15.030327
AGE_bus,0.007093505,0.004809903,1.4747709
AGE_train,-0.0015773395,0.0039623557,-0.39808124
AGE_walk,-0.0007793399,0.004037176,-0.19304086
AGE_bike,-0.007119153,0.0036612682,-1.94445
AGE_motor,-0.03197969,0.0037733016,-8.475254
Female_bus,-1.6599985,0.08792588,-18.87952
Female_train,-0.32671118,0.044275176,-7.379105
Female_walk,-1.0841142,0.08145212,-13.3098345
Female_bike,0.048459016,0.013596583,3.5640583
Female_motor,-0.761635,0.04839172,-15.738954
high_income_bus,1.4229993,0.0856654,16.611132
high_income_train,-0.41550535,0.027869375,-14.90903
high_income_walk,0.45473975,0.024233714,18.764757
high_income_bike,0.644381,0.03785583,17.021975
high_income_motor,0.055997904,0.003593804,15.581791
nearest_bus_dist_bus,0.0017638488,0.00032814845,5.375155
nearest_train_dist_train,-9.961474e-05,6.900902e-05,-1.4435033
Early_morning_departure_bus,-1.0169867e-08,5.7450205e-05,-0.00017702054
Early_morning_departure_train,-2.52457e-08,5.7450205e-05,-0.0004394362
Early_morning_departure_walk,-0.0031261211,0.00019224588,-16.261057
Early_morning_departure_bike,-6.8687726e-08,5.7450205e-05,-0.0011956046
Early_morning_departure_motor,-1.1732056e-07,5.7450205e-05,-0.0020421261
AM_peak_departure_bus,-0.35986197,0.05638673,-6.382033
AM_peak_departure_train,-0.3424917,0.019495897,-17.567373
AM_peak_departure_walk,0.2681529,0.014511852,18.478199
AM_peak_departure_bike,-0.11580602,0.007402987,-15.643147
AM_peak_departure_motor,0.1655069,0.011378648,14.545393
Off_peak_departure_bus,-1.1150587,0.060357943,-18.4741
Off_peak_departure_train,-0.2168963,0.054132417,-4.006773
Off_peak_departure_walk,0.36592278,0.029334836,12.474001
Off_peak_departure_bike,-0.09107429,0.005051478,-18.029236
Off_peak_departure_motor,-0.04099263,0.0021910106,-18.709461
PM_peak_departure_bus,0.017281659,0.020730766,0.83362377
PM_peak_departure_train,-0.7518889,0.04129951,-18.205757
PM_peak_departure_walk,-0.038042583,0.018909229,-2.0118527
PM_peak_departure_bike,0.21546766,0.011658498,18.481596
PM_peak_departure_motor,0.060151648,0.0032356095,18.590515
Purpose_101_bus,0.5319361,0.043619048,12.195042
Purpose_101_train,0.4632871,0.03438208,13.474668
Purpose_101_walk,0.56896794,0.03883359,14.651439
Purpose_101_bike,0.23556009,0.016844751,13.984183
Purpose_101_motor,0.20824549,0.0129296975,16.105984
Purpose_998_bus,0.28846413,0.03620925,7.966586
Purpose_998_train,0.6297212,0.03673719,17.141247
Purpose_998_walk,-0.21207078,0.017418673,-12.17491
Purpose_998_bike,-0.17054968,0.011347004,-15.030371
Purpose_998_motor,0.347915,0.0214351,16.231087
Purpose_100_bus,-0.63031816,0.036710873,-17.169794
Purpose_100_train,-0.70391273,0.044056505,-15.977498
Purpose_100_walk,-0.45960838,0.024368808,-18.86052
Purpose_100_bike,0.034860913,0.0024376372,14.301108
Purpose_100_motor,0.023234645,0.0016629082,13.972295
Purpose_300_bus,-0.26379517,0.015072862,-17.501333
Purpose_300_train,-0.37630114,0.022535544,-16.698116
Purpose_300_walk,-0.2270842,0.01592132,-14.2629
Purpose_300_bike,0.18727364,0.012769886,14.665255
Purpose_300_motor,0.1940753,0.012423371,15.621791
Purpose_200_bus,-0.10484262,0.0056681717,-18.496725
Purpose_200_train,-0.18883552,0.013441746,-14.048436
Purpose_200_walk,-0.13402922,0.007842561,-17.089981
Purpose_200_bike,-0.1389465,0.009811399,-14.161743
