HOUSEID,PERSONID,TRPTRANS,TRPACCMP,DRVRCNT,EDUC,HHFAMINC,HHSIZE,HHSTATE,HHVEHCNT,HOMEOWN,R_AGE_IMP,R_SEX_IMP,TRPMILES,TRVLCMIN,URBRUR,WORKER,WHYTRP1S,STRTTIME,TRIPPURP,choice,DA,SR,Transit,Bicycle,Walk,av_DA,av_SR,av_Transit,av_Bicycle,av_Walk,constant,DRVRCNT_imp,DRVRCNT_zero,DRVRCNT_one,DRVRCNT_two,DRVRCNT_3GE,education,less_Bachelor,Bachelor,Graduate,hhincome,hhincome_1,hhincome_2,hhincome_3,hhincome_4,hhsize,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize3GE,HHVEHCNT_imp,veh_zero,veh_one,veh_two,veh_3GE,AGE,age_LE18,age18_24,age25_29,age30_44,age45_59,age60_74,age_75GE,Urban_Rural,Employ_status,Gender,Norm_tripmile,Norm_triptime,triptime_scaled,triptime_log,IndivID,ALT_16,ALT_23,ALT_45
30000400,2,3,1,2,3,4,2,CA,1,2,23,2,4.465,20,1,1,10,730,HBW,2,0,1,0,0,0,1,1,1,0,0,1,3,0,0,0,1,1,1,0,0,2,0,0,1,0,2,0,1,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0.001525261,0.018112488,0.2,1.301029996,300004002,3,1,4
30000447,2,4,0,2,5,10,2,IA,2,1,77,1,5.131,20,1,1,10,740,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,3,0,0,1,4,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,0,1,1,1,1,0.00175282,0.018112488,0.2,1.301029996,300004472,-1,-1,-1
30000449,1,3,0,1,5,7,1,GA,2,1,67,2,9.515,26,1,1,10,829,HBW,1,1,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0,3,0,0,1,3,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,1,0,1,1,0,0.003250747,0.023832221,0.26,1.414973348,300004491,2,1,4
30000503,2,3,0,2,3,9,2,NY,2,1,58,2,27.315,30,1,1,10,800,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,4,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,1,1,0,0.009332657,0.027645377,0.3,1.477121255,300005032,-1,-1,-1
30000526,1,4,0,1,4,6,1,WI,2,1,46,1,22.487,45,1,1,10,730,HBW,1,1,0,0,0,0,1,1,0,1,1,1,2,0,0,1,0,2,0,1,0,3,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,1,1,1,0.007683024,0.041944709,0.45,1.653212514,300005261,4,1,3
30000539,1,3,0,1,4,6,1,WI,1,1,49,2,13.288,30,1,1,10,700,HBW,1,1,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,2,0,1,0,3,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,1,0,0,1,1,0,0.004539907,0.027645377,0.3,1.477121255,300005391,1,1,4
30000545,1,6,0,2,3,6,2,CA,4,1,72,1,9.147,30,1,1,10,810,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,1,1,1,0.003125009,0.027645377,0.3,1.477121255,300005451,4,4,4
30000710,1,3,1,2,5,11,2,TX,2,1,57,1,30.223,86,1,1,10,724,HBW,2,0,1,0,0,0,1,1,0,0,0,1,3,0,0,0,1,3,0,0,1,4,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,1,1,1,0.010326264,0.081029552,0.86,1.934498451,300007101,2,2,4
30000835,1,6,0,2,5,6,2,NY,6,1,59,1,8.874,30,1,1,10,745,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,3,0,0,1,3,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,1,1,1,0.00303173,0.027645377,0.3,1.477121255,300008351,4,4,4
30000847,1,3,0,2,5,9,4,SC,2,1,47,1,17.359,20,1,1,10,700,HBW,1,1,0,0,0,0,1,1,0,0,0,1,3,0,0,0,1,3,0,0,1,4,0,0,0,0,4,0,0,0,1,0,1,3,0,0,0,1,5,0,0,0,0,1,0,0,1,1,1,0.005930888,0.018112488,0.2,1.301029996,300008471,4,2,4
30000854,2,4,0,2,2,9,2,NY,3,1,58,2,8.616,9,1,1,10,630,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,4,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,1,1,0,0.002943576,0.007626311,0.09,0.954242509,300008542,-1,-1,-1
30000855,1,4,2,3,4,7,3,MD,3,2,40,2,62.79,100,1,1,10,635,HBW,2,0,1,0,0,0,1,1,0,1,0,1,4,0,0,0,1,2,0,1,0,3,0,0,0,1,3,0,0,1,0,0,1,4,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0.021453768,0.094375596,1,2,300008551,2,1,1
30000898,1,3,0,2,3,6,3,TX,2,1,23,2,0.709,2,1,1,10,855,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,3,0,0,1,0,0,1,3,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0.00024191,0.000953289,0.02,0.301029996,300008981,4,4,4
30000898,2,6,0,2,2,6,3,TX,2,1,26,1,2.759,10,1,1,10,750,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,3,0,0,1,0,0,1,3,0,0,0,1,3,0,0,1,0,0,0,0,1,1,1,0.000942354,0.0085796,0.1,1,300008982,4,4,4
