,estimate,std_errors,t_ratios
travelcost,-0.002900365,0.00038692853,-7.4958677
traveltime,-0.048050437,0.004358529,-11.024462
travelincentive,0.004031185,0.0003471401,11.612559
bus_constant,-0.75284314,0.05966535,-12.617762
train_constant,0.052704174,0.004207153,12.527278
walk_constant,-0.25729254,0.020389128,-12.619104
bike_constant,-0.1887769,0.014937252,-12.637994
motor_constant,0.09542846,0.0075989673,12.558083
AGE_bus,0.0055897553,0.0045813867,1.2201011
AGE_train,-0.022191022,0.003268944,-6.7884374
AGE_walk,0.009086493,0.0031826203,2.8550353
AGE_bike,-0.014069786,0.0035674314,-3.9439542
AGE_motor,-0.023476074,0.0036529384,-6.426627
Female_bus,-1.6401434,0.13000946,-12.61557
Female_train,0.16606905,0.013175383,12.604494
Female_walk,-1.7384142,0.1378001,-12.6154785
Female_bike,0.20521176,0.01627175,12.611536
Female_motor,-0.42027754,0.033298824,-12.621393
high_income_bus,0.89678234,0.07109317,12.614183
high_income_train,-0.60692304,0.048104823,-12.616677
high_income_walk,0.47496742,0.037651,12.615002
high_income_bike,0.43107387,0.03417552,12.613528
high_income_motor,0.030258458,0.0023994232,12.610722
nearest_bus_dist_bus,0.0011043819,0.00029605656,3.730307
nearest_train_dist_train,-0.00015827885,6.88009e-05,-2.3005345
Purpose_998_bus,-0.11010678,0.008723402,-12.622
Purpose_998_train,0.42748347,0.03389449,12.612182
Purpose_998_walk,-0.3640248,0.028848957,-12.6182995
Purpose_998_bike,-0.08376667,0.0066324566,-12.62981
Purpose_998_motor,0.20750482,0.016458709,12.6076
Purpose_100_bus,-0.4302394,0.03410445,-12.615345
Purpose_100_train,-0.40472782,0.032080773,-12.6159
Purpose_100_walk,-0.43145874,0.034199912,-12.615785
Purpose_100_bike,0.05267915,0.0041788355,12.606179
Purpose_100_motor,0.009298884,0.0007404707,12.558072
Purpose_300_bus,-0.18914689,0.014993712,-12.615081
Purpose_300_train,-0.23992068,0.019017816,-12.615575
Purpose_300_walk,-0.096481465,0.0076481127,-12.615068
Purpose_300_bike,0.08626377,0.00683944,12.612695
Purpose_300_motor,0.105367,0.008353313,12.613796
Purpose_200_bus,-0.11526704,0.009137134,-12.615229
Purpose_200_train,-0.076598585,0.0060715135,-12.616061
Purpose_200_walk,-0.16971013,0.013452694,-12.615327
Purpose_200_bike,-0.057754483,0.0045772586,-12.617702
Purpose_200_motor,-0.00268361,0.0002197374,-12.212805
Purpose_400_bus,-0.49529213,0.03926136,-12.615256
Purpose_400_train,0.486546,0.038572557,12.613787
Purpose_400_walk,0.7456394,0.059100293,12.616509
Purpose_400_bike,-0.1395665,0.011061226,-12.617634
Purpose_400_motor,-0.34828928,0.027598022,-12.620082
Purpose_600_bus,0.0013298419,0.000120146215,11.068529
Purpose_600_train,0.037047997,0.0029379933,12.609966
Purpose_600_walk,-0.05738755,0.0045498745,-12.612996
Purpose_600_bike,0.07831153,0.006208504,12.613591
Purpose_600_motor,-0.012023557,0.0009548056,-12.592675
Purpose_500_bus,-0.09589716,0.007601906,-12.614883
Purpose_500_train,-0.25164112,0.019945912,-12.616176
Purpose_500_walk,-0.2509278,0.019890042,-12.61575
Purpose_500_bike,-0.15152378,0.012010839,-12.615587
Purpose_500_motor,-1.0924332e-07,5.7530746e-05,-0.0018988685
Purpose_202_bus,0.009486462,0.00075377326,12.5852995
Purpose_202_train,0.10906932,0.008646867,12.613738
Purpose_202_walk,0.056264006,0.004461006,12.612404
Purpose_202_bike,-0.015232816,0.0012088373,-12.601213
Purpose_202_motor,0.026090309,0.0020699576,12.604273
Purpose_201_bus,-0.2308007,0.018295046,-12.615476
Purpose_201_train,-0.17854382,0.014151462,-12.616634
Purpose_201_walk,0.023806894,0.0018877396,12.611323
Purpose_201_bike,-0.0522962,0.004144171,-12.619219
Purpose_201_motor,-0.006569224,0.00052379357,-12.541628
