,estimate,std_errors,t_ratios
travelcost,-0.0032238741,0.0001518124,-21.235907
traveltime,-0.019692391,0.0010987975,-17.921764
travelincentive,0.0010750474,0.0001634538,6.5770717
bus_constant,-9.618267e-05,1.5725427e-05,-6.1163793
train_constant,-0.00018479196,1.8092936e-05,-10.213487
walk_constant,-0.00021518326,1.9168576e-05,-11.225835
bike_constant,-7.1786155e-05,1.5403753e-05,-4.6603026
motor_constant,-4.876379e-05,1.5111407e-05,-3.2269523
AGE_bus,-1.8626456e-09,1.2530172e-07,-0.014865283
AGE_train,3.499892e-10,1.4337868e-07,0.0024410128
AGE_walk,1.2686496e-09,9.831236e-08,0.012904273
AGE_bike,-5.4634103e-10,1.2304479e-07,-0.0044401805
AGE_motor,-4.840047e-10,1.9689537e-07,-0.0024581824
Female_bus,1.3261986e-09,1.9010496e-07,0.006976139
Female_train,3.0699998e-10,1.0229223e-07,0.0030012052
Female_walk,6.3887756e-10,1.18465415e-07,0.005392946
Female_bike,3.735819e-10,1.7561017e-07,0.0021273363
Female_motor,2.518603e-10,1.0703329e-07,0.0023531027
high_income_bus,3.608185e-10,1.7452317e-07,0.0020674532
high_income_train,3.8986436e-10,2.1267891e-07,0.0018331124
high_income_walk,2.0462304e-10,9.766877e-08,0.0020950714
high_income_bike,3.1049388e-09,1.6268038e-07,0.01908613
high_income_motor,3.0145317e-10,1.6316471e-07,0.001847539
nearest_bus_dist_bus,1.4655602e-10,1.104785e-07,0.0013265569
nearest_train_dist_train,-1.284538e-05,2.4363048e-06,-5.272485
