,estimate,std_errors,t_ratios
travelcost,-0.0030750136,0.00038462592,-7.9948163
traveltime,-0.05001093,0.0042407615,-11.7929125
travelincentive,0.004317213,0.00034851872,12.38732
bus_constant,-0.6642007,0.049785398,-13.341276
train_constant,0.046847288,0.0035387396,13.23841
walk_constant,-0.22714798,0.017023407,-13.343274
bike_constant,-0.16676392,0.012478825,-13.363751
motor_constant,0.08427245,0.0063530756,13.264828
AGE_bus,0.003953259,0.004502949,0.8779267
AGE_train,-0.015640134,0.0031836545,-4.9126353
AGE_walk,0.0089445,0.0031788852,2.8137224
AGE_bike,-0.015914174,0.0035070297,-4.5377927
AGE_motor,-0.025476744,0.0036832087,-6.9169974
Female_bus,-1.4481755,0.10856857,-13.33881
Female_train,0.14672866,0.0110113155,13.325262
Female_walk,-1.535887,0.115145974,-13.338608
Female_bike,0.18130502,0.013596651,13.334535
Female_motor,-0.37120008,0.027812848,-13.346353
high_income_bus,0.79262775,0.05943073,13.337002
high_income_train,-0.5358644,0.040170487,-13.339754
high_income_walk,0.41934997,0.0314397,13.338231
high_income_bike,0.38056684,0.028535761,13.336488
high_income_motor,0.026699083,0.002002653,13.331857
nearest_bus_dist_bus,0.0011140493,0.00029494945,3.7770855
nearest_train_dist_train,-0.00012801244,6.538344e-05,-1.9578724
Early_morning_departure_bus,-3.7682293e-09,5.7611716e-05,-6.5407345e-05
Early_morning_departure_train,-9.821714e-09,5.7611716e-05,-0.00017048119
Early_morning_departure_walk,-0.0018503832,0.00015007562,-12.329673
Early_morning_departure_bike,-2.9804397e-08,5.7611716e-05,-0.0005173322
Early_morning_departure_motor,-4.3979156e-08,5.7611716e-05,-0.00076337176
AM_peak_departure_bus,0.2484788,0.018633857,13.334802
AM_peak_departure_train,-0.2183098,0.016360268,-13.343902
AM_peak_departure_walk,0.19829588,0.0148733,13.332339
AM_peak_departure_bike,-0.14285593,0.010702601,-13.347777
AM_peak_departure_motor,0.06585615,0.004947968,13.309737
Off_peak_departure_bus,-0.82473546,0.061829224,-13.338926
Off_peak_departure_train,0.36821696,0.027615223,13.333839
Off_peak_departure_walk,0.08286926,0.006210293,13.343857
Off_peak_departure_bike,-0.062134206,0.0046522776,-13.355654
Off_peak_departure_motor,-0.031389672,0.0023412611,-13.407165
PM_peak_departure_bus,-0.20259038,0.015185747,-13.340823
PM_peak_departure_train,-0.52785915,0.039565653,-13.341349
PM_peak_departure_walk,-0.22996438,0.017239299,-13.339543
PM_peak_departure_bike,0.20963475,0.015723966,13.33218
PM_peak_departure_motor,0.046070695,0.0034648904,13.296436
