,estimate,std_errors,t_ratios
travelcost,-0.003026289,0.00019494035,-15.524179
traveltime,-0.057256907,0.0025163624,-22.75384
travelincentive,0.003231726,0.00030895357,10.460232
bus_constant,-0.00050080626,5.276112e-05,-9.491957
train_constant,-0.00044652825,5.182924e-05,-8.615374
walk_constant,-0.00039205074,5.0983574e-05,-7.6897464
bike_constant,-0.0004665431,5.2250223e-05,-8.929016
motor_constant,-0.00043520585,5.1700117e-05,-8.417889
AGE_bus,-1.12327506e-07,2.9550909e-05,-0.0038011523
AGE_train,-0.006596868,0.00029569215,-22.30992
AGE_walk,1.3406787e-08,2.815005e-05,0.00047626154
AGE_bike,-0.0011108783,7.3484e-05,-15.117282
AGE_motor,-0.008648172,0.00038520055,-22.45109
Female_bus,-8.072591e-08,2.7721078e-05,-0.002912077
Female_train,1.8952218e-10,2.9730969e-05,6.374571e-06
Female_walk,-6.2476113e-09,2.7124228e-05,-0.00023033324
Female_bike,-4.0989548e-08,2.809628e-05,-0.001458896
Female_motor,2.0320805e-08,2.4921414e-05,0.0008153953
high_income_bus,-1.6693448e-08,2.765581e-05,-0.00060361455
high_income_train,1.8335108e-08,2.9608804e-05,0.0006192451
high_income_walk,-2.0947533e-08,2.8768276e-05,-0.000728147
high_income_bike,4.155258e-08,3.1051764e-05,0.0013381712
high_income_motor,-2.569382e-08,2.4386596e-05,-0.0010536042
nearest_bus_dist_bus,2.2846763e-08,4.2878037e-05,0.00053283136
nearest_train_dist_train,-0.00020637152,5.5741475e-05,-3.7022974
Early_morning_departure_bus,-1.8686167e-08,3.0418094e-05,-0.0006143109
Early_morning_departure_train,-3.6607737e-08,3.6844664e-05,-0.0009935696
Early_morning_departure_walk,5.1489906e-09,2.628044e-05,0.00019592482
Early_morning_departure_bike,-2.7998102e-08,3.2572858e-05,-0.0008595531
Early_morning_departure_motor,5.3829606e-08,3.711013e-05,0.0014505367
AM_peak_departure_bus,6.227319e-08,2.9633567e-05,0.0021014407
AM_peak_departure_train,-2.3793145e-08,2.3143533e-05,-0.0010280688
AM_peak_departure_walk,-1.9143219e-08,2.7753118e-05,-0.00068976823
AM_peak_departure_bike,-6.450184e-08,2.8751676e-05,-0.0022434115
AM_peak_departure_motor,1.46925e-08,2.6806756e-05,0.00054808945
Off_peak_departure_bus,2.5376725e-08,2.6890651e-05,0.0009437006
Off_peak_departure_train,1.5065313e-08,3.0312776e-05,0.00049699546
Off_peak_departure_walk,-1.5397005e-08,2.6522217e-05,-0.00058053236
Off_peak_departure_bike,2.4320626e-08,2.7982072e-05,0.0008691503
Off_peak_departure_motor,-1.2148736e-08,2.4709001e-05,-0.0004916725
PM_peak_departure_bus,2.2281093e-09,2.7552125e-05,8.086887e-05
PM_peak_departure_train,9.788401e-09,2.9980009e-05,0.00032649763
PM_peak_departure_walk,2.4234824e-08,2.4698833e-05,0.0009812133
PM_peak_departure_bike,-2.0806058e-07,3.1018855e-05,-0.006707552
PM_peak_departure_motor,1.2122852e-07,3.0283629e-05,0.0040031043
Purpose_101_bus,-4.673331e-07,3.599651e-05,-0.0129827345
Purpose_101_train,-1.1140964e-07,3.2637217e-05,-0.0034135766
Purpose_101_walk,-1.6136543e-07,3.0054309e-05,-0.005369128
Purpose_101_bike,-1.7915731e-09,2.9183973e-05,-6.1388935e-05
Purpose_101_motor,3.9736815e-08,2.5155126e-05,0.0015796706
Purpose_998_bus,6.941619e-08,2.9845623e-05,0.0023258415
Purpose_998_train,-2.5525706e-08,2.353348e-05,-0.001084655
Purpose_998_walk,-2.0073042e-08,2.79152e-05,-0.0007190721
Purpose_998_bike,-5.7650645e-08,2.6413165e-05,-0.002182648
Purpose_998_motor,-1.6770973e-07,2.9731807e-05,-0.005640751
Purpose_100_bus,2.059927e-08,2.4717256e-05,0.00083339633
Purpose_100_train,-1.0648597e-07,2.3107737e-05,-0.0046082386
Purpose_100_walk,1.2235621e-07,2.72021e-05,0.0044980426
Purpose_100_bike,6.6029756e-08,2.494597e-05,0.0026469107
Purpose_100_motor,4.2650615e-08,2.8382581e-05,0.0015027039
Purpose_300_bus,1.693179e-08,2.337449e-05,0.0007243704
Purpose_300_train,1.089043e-07,2.7419059e-05,0.003971847
Purpose_300_walk,-6.1701844e-09,3.3427194e-05,-0.00018458578
Purpose_300_bike,1.8709324e-07,2.8960001e-05,0.0064604017
Purpose_300_motor,1.5518767e-08,2.760114e-05,0.00056225096
Purpose_200_bus,2.966923e-08,2.9704981e-05,0.0009987964
Purpose_200_train,5.2178383e-08,2.8181079e-05,0.0018515396
Purpose_200_walk,7.802686e-08,3.1076615e-05,0.00251079
Purpose_200_bike,-2.902883e-08,2.8004792e-05,-0.0010365666
Purpose_200_motor,1.2020723e-07,2.8462537e-05,0.004223349
Purpose_400_bus,-1.9914205e-08,2.5792831e-05,-0.00077208295
Purpose_400_train,8.402289e-09,2.7279702e-05,0.00030800514
Purpose_400_walk,-7.8313064e-08,3.2239266e-05,-0.0024291205
Purpose_400_bike,-1.4635932e-08,2.4835243e-05,-0.0005893211
Purpose_400_motor,1.0327451e-07,2.9058087e-05,0.0035540713
Purpose_600_bus,-4.5557023e-08,3.2141004e-05,-0.0014174113
Purpose_600_train,4.818103e-08,2.6393445e-05,0.0018254922
Purpose_600_walk,-2.4572522e-08,2.6919677e-05,-0.00091280893
Purpose_600_bike,-8.19077e-08,2.3553976e-05,-0.003477447
Purpose_600_motor,3.915803e-08,2.5246181e-05,0.0015510477
Purpose_500_bus,1.5784043e-08,2.7768703e-05,0.0005684112
Purpose_500_train,-3.0634954e-08,2.932225e-05,-0.0010447683
Purpose_500_walk,-3.1131318e-08,2.631817e-05,-0.001182883
Purpose_500_bike,9.424627e-08,2.360476e-05,0.0039926805
Purpose_500_motor,4.2436806e-08,2.6364685e-05,0.001609608
Purpose_202_bus,-1.35408404e-08,2.5396024e-05,-0.0005331874
Purpose_202_train,-1.1869291e-08,3.061995e-05,-0.0003876326
Purpose_202_walk,-8.147667e-08,2.3078464e-05,-0.00353042
Purpose_202_bike,-1.2110741e-08,2.539301e-05,-0.00047693207
Purpose_202_motor,4.592774e-08,2.7924289e-05,0.0016447238
Purpose_201_bus,-4.0385606e-09,2.3336159e-05,-0.00017306021
Purpose_201_train,-9.1497796e-08,2.7759208e-05,-0.003296124
Purpose_201_walk,7.0481523e-09,2.5199182e-05,0.00027969765
Purpose_201_bike,-1.7450617e-08,2.5576357e-05,-0.00068229483
Purpose_201_motor,1.920469e-08,2.5487647e-05,0.0007534901
job_type_Part time job_bus,5.752489e-08,2.5393838e-05,0.002265309
job_type_Part time job_train,-1.6921016e-08,2.6927817e-05,-0.00062838424
job_type_Part time job_walk,-5.305227e-08,2.7033131e-05,-0.0019624906
job_type_Part time job_bike,6.253025e-08,3.141514e-05,0.0019904494
job_type_Part time job_motor,-2.5745173e-09,2.9115854e-05,-8.842321e-05
